[2025-12-02 10:17:49.353] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=INV_CONFIG, Unit=, StoredUnit=, CmdCode=0x0101, StoredCmdName=INV_CONFIG
[2025-12-02 10:17:49.355] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=INV_FAULT, Unit=, StoredUnit=, CmdCode=0x011E, StoredCmdName=INV_FAULT
[2025-12-02 10:17:49.356] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=INV_OPERATION, Unit=, StoredUnit=, CmdCode=0x0100, StoredCmdName=INV_OPERATION
[2025-12-02 10:17:49.358] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=INV_FAULT, Unit=, StoredUnit=, CmdCode=0x011E, StoredCmdName=INV_FAULT
[2025-12-02 10:17:49.360] [PollingRead][FireAndForgetTask] oneSubSys_FireAndForgetLock is being used (port, protocol) = (CAN1, NTN-5K_CAN.json)
[2025-12-02 10:17:49.360] [PollingRead][FireAndForgetTask] oneSubSys_FireAndForgetLock is being used (port, protocol) = (CAN1, NTN-5K_CAN.json)
[2025-12-02 10:17:49.360] [PollingRead][FireAndForgetTask] oneSubSys_FireAndForgetLock is being used (port, protocol) = (MOD2, NTN-5K_MOD.json)
[2025-12-02 10:17:49.360] [PollingRead][FireAndForgetTask] oneSubSys_FireAndForgetLock is being used (port, protocol) = (CAN2, NTN-5K_CAN.json)
[2025-12-02 10:17:49.360] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=INV_FAULT, Unit=, StoredUnit=, CmdCode=0x011E, StoredCmdName=INV_FAULT
[2025-12-02 10:17:49.360] [PollingRead][FireAndForgetTask] oneSubSys_FireAndForgetLock is being used (port, protocol) = (MOD1, NTN-5K_MOD.json)
[2025-12-02 10:17:49.362] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=INV_OPERATION, Unit=, StoredUnit=, CmdCode=0x0100, StoredCmdName=INV_OPERATION
[2025-12-02 10:17:49.364] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=INV_STATUS, Unit=, StoredUnit=, CmdCode=0x011D, StoredCmdName=INV_STATUS
